    empty_slots
24           TRUE       FALSE      1.494781e+12          25
25           TRUE       FALSE      1.494782e+12          25
26           TRUE        TRUE      1.494781e+12          25
27          FALSE       FALSE      1.494781e+12          22
28           TRUE       FALSE      1.494781e+12          25
29          FALSE       FALSE      1.494781e+12          24
30           TRUE        TRUE      1.494781e+12          25
31           TRUE       FALSE      1.494781e+12          22
32           TRUE       FALSE      1.494782e+12          25
33           TRUE       FALSE      1.494781e+12          25
34           TRUE        TRUE      1.494781e+12          20
35          FALSE        TRUE      1.494781e+12          20
36           TRUE       FALSE      1.494781e+12          25
37          FALSE       FALSE      1.494782e+12          25
38           TRUE       FALSE      1.494781e+12          24
39          FALSE       FALSE      1.494782e+12          25
40           TRUE        TRUE      1.494781e+12          20
41          FALSE       FALSE      1.494781e+12          24
42          FALSE       FALSE      1.494782e+12          24
43           TRUE       FALSE      1.494782e+12          25
44          FALSE       FALSE      1.494782e+12          22
45          FALSE       FALSE      1.494781e+12          18
46           TRUE       FALSE      1.494781e+12          25
47           TRUE       FALSE      1.494781e+12          43
48           TRUE       FALSE      1.494781e+12          20
49          FALSE       FALSE      1.494781e+12          25
50           TRUE       FALSE      1.494781e+12          25
51           TRUE       FALSE      1.494781e+12          22
52           TRUE       FALSE      1.494782e+12          25
53           TRUE       FALSE      1.494781e+12          25
54           TRUE       FALSE      1.494781e+12          25
55           TRUE       FALSE      1.494781e+12          25
56          FALSE       FALSE      1.494781e+12          20
57           TRUE        TRUE      1.494781e+12          30
58           TRUE        TRUE      1.494781e+12          25
59           TRUE       FALSE      1.494781e+12          25
60           TRUE       FALSE      1.494781e+12          40
61           TRUE       FALSE      1.494781e+12          20
62          FALSE       FALSE      1.494781e+12          22
63           TRUE       FALSE      1.494781e+12          20
64           TRUE       FALSE      1.494781e+12          19
65           TRUE       FALSE      1.494781e+12          25
66           TRUE       FALSE      1.494781e+12          20
67           TRUE       FALSE      1.494781e+12          25
68           TRUE       FALSE      1.494781e+12          25
69           TRUE        TRUE      1.494781e+12          25
70           TRUE       FALSE      1.494781e+12          25
71           TRUE        TRUE      1.494782e+12          25
    extra.status extra.uid free_bikes
1           OPEN       133          0
2           OPEN       360         12
3           OPEN        59          5
4           OPEN       364          2
5           OPEN       136         21
6           OPEN        66          2
7           OPEN       272         16
8           OPEN       280         10
9           OPEN        21         34
10          OPEN        34         28
11          OPEN       211         12
12          OPEN        47         20
13          OPEN       336          6
14          OPEN       324         15
15          OPEN       314          6
16          OPEN       194          8
17          OPEN       176          4
18          OPEN       132          9
19          OPEN       246          4
20          OPEN        39          0
21          OPEN       290         12
22          OPEN        88         15
23          OPEN        11          5
24          OPEN       182          0
25          OPEN       267         12
26          OPEN       147          6
27          OPEN       148          7
28          OPEN       306         12
29          OPEN       230          5
30          OPEN       228         14
31          OPEN       355          3
32          OPEN       235          9
33          OPEN       102          9
34          OPEN       105         10
35          OPEN         1          1
36          OPEN       207         20
37          OPEN       185          2
38          OPEN       348         15
39          OPEN        31         12
40          OPEN        19          4
41          OPEN        41         14
42          OPEN       256         17
43          OPEN       175         14
44          OPEN       190         17
45          OPEN       345         14
46          OPEN       139         17
47          OPEN        58         18
48          OPEN       334         12
49          OPEN        27          8
50          OPEN       164         12
51          OPEN       339         12
52          OPEN       209         19
53          OPEN       236         20
54          OPEN       278         10
55          OPEN       270          7
56          OPEN       186         10
57          OPEN       122          3
58          OPEN       200          2
59          OPEN       333          4
60          OPEN        53         15
61          OPEN       286          9
62          OPEN       110          7
63          OPEN       288         10
64          OPEN        23         17
65          OPEN       260         17
66          OPEN       264          6
67          OPEN       145          8
68          OPEN       204         18
69          OPEN       239          2
70          OPEN       202         11
71          OPEN        80         11
                                  id latitude longitude
1   9e07346cff37b86357d3f68af29713df 50.86680  4.309222
2   6702328a7b38cd0cae3b637e40acb2c2 50.84157  4.465770
3   a2859e15d1ff6ed8518041a796a1ae08 50.84968  4.375312
4   4cc6506a71368ea3c963f0c852cdf627 50.88089  4.374248
5   b5398b470dba3910f362ec2f107172a2 50.86981  4.371808
6   83c068381a62a106a5c37a823295e1e5 50.84336  4.379946
7   54a7be4cdfe05dbd6dfe99c436ef00bb 50.85084  4.299659
8   da169c81fad917bd2ac5be34a43581c8 50.89752  4.334831
9   308781ff4e2f338664791996c52f1550 50.85192  4.352776
10  39d434ce24f0949230e04bbc57436a37 50.84563  4.346942
11  ebfe4d30283e4a4da6de03b32ee6dbd9 50.81653  4.290832
12  068ba08e69a6a2835b9e76d827b794f6 50.85471  4.347151
13  3474c887a8f612fa4864359345955e12 50.84858  4.459038
14  6d96da4763d2c9e615209698e59c9907 50.81964  4.412926
